Daily averaged kinematic FBC-overflow flux (transport) in Sv

Data references:
Hansen, B., Larsen, K. M. H., Hátún, H., Kristiansen, R., Mortensen, E. Østerhus
Faroe Bank Channel overflow 1995-2015. Havstovan nr. 15-02. Technical report.
http://www.hav.fo/PDF/Ritgerdir/2015/TecRep1502.pdf
Hansen, B., Larsen, K. M. H., Hátún, Østerhus, S. 2016.: A stable Faroe Bank Cha
Ocean Sci., 12, 1205–1220, 2016. www.ocean-sci.net/12/1205/2016/doi:10.5194/os-1
====================
  Year   Mo Da  Flux
--------------------
1995.867 11 13  2.38
1995.870 11 14  2.99
1995.873 11 15  3.00
1995.875 11 16  3.22
1995.878 11 17  2.75
1995.881 11 18  3.03
1995.884 11 19  2.54
1995.886 11 20  2.57
1995.889 11 21  3.43
1995.892 11 22  2.38
1995.895 11 23  1.48
1995.897 11 24  1.75
1995.900 11 25  2.17
1995.903 11 26  2.30
1995.905 11 27  2.64
1995.908 11 28  2.97
1995.911 11 29  2.60
1995.914 11 30  1.99
1995.916 12  1  2.22
1995.919 12  2  2.22
1995.922 12  3  1.80
1995.925 12  4  1.97
1995.927 12  5  2.30
1995.930 12  6  1.99
1995.933 12  7  1.84
1995.936 12  8  2.47
1995.938 12  9  2.53
1995.941 12 10  2.07
1995.944 12 11  1.89
1995.947 12 12  1.88
1995.949 12 13  2.09
1995.952 12 14  2.61
1995.955 12 15  2.50
1995.958 12 16  2.30
1995.960 12 17  2.25
1995.963 12 18  2.44
1995.966 12 19  2.62
1995.968 12 20  2.69
1995.971 12 21  2.53
1995.974 12 22  2.34
1995.977 12 23  2.28
1995.979 12 24  2.15
1995.982 12 25  1.93
1995.985 12 26  1.80
1995.988 12 27  2.11
1995.990 12 28  2.08
1995.993 12 29  1.64
1995.996 12 30  1.87
1995.999 12 31  3.18
1996.001  1  1  3.81
1996.004  1  2  3.24
1996.007  1  3  2.61
1996.010  1  4  1.98
1996.012  1  5  2.16
1996.015  1  6  2.95
1996.018  1  7  3.68
1996.020  1  8  2.95
1996.023  1  9  2.13
1996.026  1 10  2.97
1996.029  1 11  2.81
1996.031  1 12  2.21
1996.034  1 13  2.51
1996.037  1 14  3.58
1996.040  1 15  3.34
1996.042  1 16  3.09
1996.045  1 17  2.94
1996.048  1 18  2.59
1996.051  1 19  2.46
1996.053  1 20  4.00
1996.056  1 21  3.45
1996.059  1 22  2.21
1996.061  1 23  2.54
1996.064  1 24  2.79
1996.067  1 25  3.82
1996.070  1 26  3.76
1996.072  1 27  2.70
1996.075  1 28  2.24
1996.078  1 29  3.05
1996.081  1 30  2.47
1996.083  1 31  1.97
1996.086  2  1  2.70
1996.089  2  2  3.25
1996.092  2  3  2.68
1996.094  2  4  2.40
1996.097  2  5  2.42
1996.100  2  6  2.18
1996.102  2  7  1.97
1996.105  2  8  1.71
1996.108  2  9  1.78
1996.111  2 10  2.17
1996.113  2 11  1.94
1996.116  2 12  1.47
1996.119  2 13  1.76
1996.122  2 14  2.11
1996.124  2 15  1.38
1996.127  2 16  1.02
1996.130  2 17  1.15
1996.133  2 18  1.93
1996.135  2 19  1.86
1996.138  2 20  1.57
1996.141  2 21  1.37
1996.143  2 22  1.44
1996.146  2 23  1.30
1996.149  2 24  1.19
1996.152  2 25  1.63
1996.154  2 26  1.83
1996.157  2 27  1.54
1996.160  2 28  1.33
1996.163  2 29  1.69
1996.165  3  1  2.12
1996.168  3  2  1.86
1996.171  3  3  1.64
1996.173  3  4  2.30
1996.176  3  5  2.71
1996.179  3  6  2.06
1996.182  3  7  1.74
1996.184  3  8  2.19
1996.187  3  9  2.29
1996.190  3 10  1.91
1996.193  3 11  1.29
1996.195  3 12  1.64
1996.198  3 13  2.01
1996.201  3 14  2.02
1996.204  3 15  2.22
1996.206  3 16  3.03
1996.209  3 17  3.01
1996.212  3 18  3.08
1996.214  3 19  2.56
1996.217  3 20  2.16
1996.220  3 21  1.84
1996.223  3 22  1.77
1996.225  3 23  2.24
1996.228  3 24  2.06
1996.231  3 25  1.79
1996.234  3 26  1.85
1996.236  3 27  1.95
1996.239  3 28  1.73
1996.242  3 29  2.20
1996.245  3 30  2.37
1996.247  3 31  2.20
1996.250  4  1  1.41
1996.253  4  2  1.18
1996.255  4  3  1.56
1996.258  4  4  1.87
1996.261  4  5  1.93
1996.264  4  6  1.90
1996.266  4  7  2.17
1996.269  4  8  1.85
1996.272  4  9  1.25
1996.275  4 10  1.16
1996.277  4 11  1.09
1996.280  4 12  1.33
1996.283  4 13  1.95
1996.286  4 14  2.03
1996.288  4 15  1.77
1996.291  4 16  1.45
1996.294  4 17  1.24
1996.296  4 18  1.39
1996.299  4 19  1.66
1996.302  4 20  2.30
1996.305  4 21  2.60
1996.307  4 22  2.02
1996.310  4 23  2.46
1996.313  4 24  2.44
1996.316  4 25  1.74
1996.318  4 26  1.67
1996.321  4 27  2.33
1996.324  4 28  2.62
1996.327  4 29  1.81
1996.329  4 30  2.06
1996.332  5  1  2.60
1996.335  5  2  2.34
1996.337  5  3  2.08
1996.340  5  4  1.83
1996.343  5  5  1.61
1996.346  5  6  1.54
1996.348  5  7  1.57
1996.351  5  8  1.51
1996.354  5  9  1.87
1996.357  5 10  2.16
1996.359  5 11  2.20
1996.362  5 12  2.21
1996.365  5 13  2.30
1996.367  5 14  2.02
1996.370  5 15  1.91
1996.373  5 16  2.24
1996.376  5 17  2.11
1996.378  5 18  2.19
1996.381  5 19  2.59
1996.384  5 20  2.61
1996.387  5 21  2.36
1996.389  5 22  2.39
1996.392  5 23  2.45
1996.395  5 24  2.11
1996.458  6 16  2.31
1996.460  6 17  1.54
1996.463  6 18  1.58
1996.466  6 19  1.97
1996.469  6 20  2.15
1996.471  6 21  2.23
1996.474  6 22  3.44
1996.477  6 23  3.28
1996.480  6 24  2.50
1996.482  6 25  2.24
1996.485  6 26  1.86
1996.488  6 27  1.65
1996.490  6 28  1.91
1996.493  6 29  2.08
1996.496  6 30  2.18
1996.499  7  1  2.06
1996.501  7  2  2.27
1996.504  7  3  2.71
1996.507  7  4  3.00
1996.510  7  5  2.56
1996.512  7  6  2.19
1996.515  7  7  2.28
1996.518  7  8  2.07
1996.520  7  9  2.17
1996.523  7 10  2.67
1996.526  7 11  2.65
1996.529  7 12  2.42
1996.531  7 13  2.07
1996.534  7 14  1.87
1996.537  7 15  2.18
1996.540  7 16  2.22
1996.542  7 17  2.00
1996.545  7 18  2.48
1996.548  7 19  2.37
1996.551  7 20  2.17
1996.553  7 21  2.79
1996.556  7 22  3.06
1996.559  7 23  2.16
1996.561  7 24  2.00
1996.564  7 25  2.39
1996.567  7 26  2.34
1996.570  7 27  2.06
1996.572  7 28  1.98
1996.575  7 29  2.01
1996.578  7 30  1.88
1996.581  7 31  1.70
1996.583  8  1  1.68
1996.586  8  2  2.50
1996.589  8  3  2.78
1996.592  8  4  2.39
1996.594  8  5  2.13
1996.597  8  6  1.90
1996.600  8  7  1.99
1996.602  8  8  2.14
1996.605  8  9  2.35
1996.608  8 10  2.46
1996.611  8 11  2.56
1996.613  8 12  2.04
1996.616  8 13  1.71
1996.619  8 14  1.79
1996.622  8 15  2.80
1996.624  8 16  2.65
1996.627  8 17  1.89
1996.630  8 18  2.05
1996.633  8 19  3.00
1996.635  8 20  3.16
1996.638  8 21  3.16
1996.641  8 22  3.04
1996.643  8 23  3.12
1996.646  8 24  2.65
1996.649  8 25  1.97
1996.652  8 26  2.27
1996.654  8 27  3.16
1996.657  8 28  2.42
1996.660  8 29  1.82
1996.663  8 30  2.52
1996.665  8 31  2.60
1996.668  9  1  1.94
1996.671  9  2  1.84
1996.673  9  3  1.94
1996.676  9  4  4.03
1996.679  9  5  2.96
1996.682  9  6  1.80
1996.684  9  7  2.12
1996.687  9  8  2.89
1996.690  9  9  2.63
1996.693  9 10  1.88
1996.695  9 11  2.46
1996.698  9 12  2.97
1996.701  9 13  2.08
1996.704  9 14  2.20
1996.706  9 15  2.89
1996.709  9 16  2.46
1996.712  9 17  1.57
1996.714  9 18  1.60
1996.717  9 19  2.00
1996.720  9 20  2.30
1996.723  9 21  1.93
1996.725  9 22  1.51
1996.728  9 23  1.54
1996.731  9 24  1.61
1996.734  9 25  1.81
1996.736  9 26  1.53
1996.739  9 27  1.36
1996.742  9 28  1.31
1996.745  9 29  1.72
1996.747  9 30  1.56
1996.750 10  1  1.47
1996.753 10  2  1.65
1996.755 10  3  1.48
1996.758 10  4  1.12
1996.761 10  5  1.02
1996.764 10  6  1.18
1996.766 10  7  1.28
1996.769 10  8  1.18
1996.772 10  9  1.02
1996.775 10 10  1.04
1996.777 10 11  1.17
1996.780 10 12  1.10
1996.783 10 13  1.28
1996.786 10 14  1.47
1996.788 10 15  1.16
1996.791 10 16  1.40
1996.794 10 17  1.86
1996.796 10 18  1.98
1996.799 10 19  1.84
1996.802 10 20  1.77
1996.805 10 21  1.32
1996.807 10 22  1.20
1996.810 10 23  1.44
1996.813 10 24  1.40
1996.816 10 25  1.43
1996.818 10 26  1.46
1996.821 10 27  1.65
1996.824 10 28  1.64
1996.827 10 29  1.76
1996.829 10 30  1.43
1996.832 10 31  1.31
1996.835 11  1  1.74
1996.837 11  2  1.88
1996.840 11  3  1.62
1996.843 11  4  1.46
1996.846 11  5  1.66
1996.848 11  6  1.74
1996.851 11  7  1.52
1996.854 11  8  1.35
1996.857 11  9  1.47
1996.859 11 10  1.98
1996.862 11 11  2.46
1996.865 11 12  1.98
1996.867 11 13  1.72
1996.870 11 14  1.75
1996.873 11 15  1.74
1996.876 11 16  1.41
1996.878 11 17  1.21
1996.881 11 18  1.28
1996.884 11 19  1.54
1996.887 11 20  1.85
1996.889 11 21  2.18
1996.892 11 22  2.05
1996.895 11 23  2.10
1996.898 11 24  2.47
1996.900 11 25  1.94
1996.903 11 26  1.30
1996.906 11 27  1.46
1996.908 11 28  1.70
1996.911 11 29  1.80
1996.914 11 30  1.96
1996.917 12  1  2.21
1996.919 12  2  2.00
1996.922 12  3  1.70
1996.925 12  4  1.74
1996.928 12  5  1.77
1996.930 12  6  1.74
1996.933 12  7  2.21
1996.936 12  8  1.93
1996.939 12  9  1.87
1996.941 12 10  1.93
1996.944 12 11  2.06
1996.947 12 12  1.77
1996.949 12 13  1.54
1996.952 12 14  1.39
1996.955 12 15  1.34
1996.958 12 16  1.81
1996.960 12 17  3.23
1996.963 12 18  3.48
1996.966 12 19  3.05
1996.969 12 20  3.10
1996.971 12 21  2.89
1996.974 12 22  2.32
1996.977 12 23  2.25
1996.980 12 24  2.05
1996.982 12 25  1.95
1996.985 12 26  1.98
1996.988 12 27  2.18
1996.990 12 28  2.35
1996.993 12 29  2.73
1996.996 12 30  2.56
1996.999 12 31  2.68
1997.001  1  1  2.97
1997.004  1  2  3.19
1997.007  1  3  2.70
1997.010  1  4  1.97
1997.012  1  5  2.09
1997.015  1  6  2.45
1997.018  1  7  2.22
1997.021  1  8  2.33
1997.023  1  9  2.79
1997.026  1 10  2.45
1997.029  1 11  2.07
1997.032  1 12  1.60
1997.034  1 13  1.69
1997.037  1 14  2.07
1997.040  1 15  2.26
1997.042  1 16  1.99
1997.045  1 17  1.71
1997.048  1 18  2.26
1997.051  1 19  2.51
1997.053  1 20  2.16
1997.056  1 21  1.47
1997.059  1 22  1.59
1997.062  1 23  2.12
1997.064  1 24  2.53
1997.067  1 25  2.33
1997.070  1 26  2.19
1997.073  1 27  2.27
1997.075  1 28  2.52
1997.078  1 29  2.09
1997.081  1 30  1.72
1997.084  1 31  2.42
1997.086  2  1  2.50
1997.089  2  2  1.74
1997.092  2  3  1.63
1997.095  2  4  1.96
1997.097  2  5  2.73
1997.100  2  6  2.49
1997.103  2  7  1.38
1997.105  2  8  1.26
1997.108  2  9  1.83
1997.111  2 10  2.39
1997.114  2 11  1.97
1997.116  2 12  1.42
1997.119  2 13  1.37
1997.122  2 14  2.00
1997.125  2 15  1.54
1997.127  2 16  1.27
1997.130  2 17  1.26
1997.133  2 18  1.23
1997.136  2 19  1.12
1997.138  2 20  1.44
1997.141  2 21  0.91
1997.144  2 22  1.08
1997.147  2 23  0.95
1997.149  2 24  1.25
1997.152  2 25  1.05
1997.155  2 26  1.20
1997.158  2 27  1.63
1997.160  2 28  1.82
1997.163  3  1  1.23
1997.166  3  2  1.41
1997.168  3  3  1.56
1997.171  3  4  1.56
1997.174  3  5  1.43
1997.177  3  6  1.55
1997.179  3  7  2.08
1997.182  3  8  0.81
1997.185  3  9  0.82
1997.188  3 10  1.14
1997.190  3 11  1.30
1997.193  3 12  1.71
1997.196  3 13  1.64
1997.199  3 14  1.90
1997.201  3 15  2.20
1997.204  3 16  2.26
1997.207  3 17  3.17
1997.210  3 18  3.23
1997.212  3 19  3.18
1997.215  3 20  2.33
1997.218  3 21  2.29
1997.221  3 22  2.91
1997.223  3 23  2.24
1997.226  3 24  1.61
1997.229  3 25  1.27
1997.232  3 26  1.15
1997.234  3 27  0.98
1997.237  3 28  1.08
1997.240  3 29  1.51
1997.242  3 30  1.48
1997.245  3 31  1.39
1997.248  4  1  1.56
1997.251  4  2  2.07
1997.253  4  3  1.90
1997.256  4  4  2.06
1997.259  4  5  2.12
1997.262  4  6  2.22
1997.264  4  7  2.05
1997.267  4  8  1.45
1997.270  4  9  1.17
1997.273  4 10  1.20
1997.275  4 11  1.13
1997.278  4 12  1.39
1997.281  4 13  1.54
1997.284  4 14  1.49
1997.286  4 15  1.34
1997.289  4 16  1.48
1997.292  4 17  1.65
1997.295  4 18  2.07
1997.297  4 19  2.23
1997.300  4 20  2.28
1997.303  4 21  1.88
1997.305  4 22  1.63
1997.308  4 23  2.06
1997.311  4 24  2.24
1997.314  4 25  2.03
1997.316  4 26  1.86
1997.319  4 27  1.90
1997.322  4 28  1.75
1997.325  4 29  1.54
1997.327  4 30  1.76
1997.330  5  1  2.59
1997.333  5  2  2.47
1997.336  5  3  2.14
1997.338  5  4  2.17
1997.341  5  5  2.43
1997.344  5  6  2.35
1997.347  5  7  1.74
1997.349  5  8  1.54
1997.352  5  9  1.60
1997.355  5 10  1.69
1997.358  5 11  2.02
1997.360  5 12  1.65
1997.363  5 13  1.64
1997.366  5 14  1.47
1997.368  5 15  1.66
1997.371  5 16  2.36
1997.374  5 17  2.81
1997.377  5 18  2.38
1997.379  5 19  2.37
1997.382  5 20  2.74
1997.385  5 21  2.43
1997.388  5 22  1.99
1997.390  5 23  1.93
1997.393  5 24  2.49
1997.459  6 17  3.06
1997.462  6 18  2.72
1997.464  6 19  2.11
1997.467  6 20  1.53
1997.470  6 21  1.36
1997.473  6 22  2.66
1997.475  6 23  3.26
1997.478  6 24  2.52
1997.481  6 25  2.45
1997.484  6 26  2.91
1997.486  6 27  2.54
1997.489  6 28  2.21
1997.492  6 29  2.39
1997.495  6 30  2.36
1997.497  7  1  2.23
1997.500  7  2  2.13
1997.503  7  3  2.84
1997.505  7  4  2.93
1997.508  7  5  2.56
1997.511  7  6  2.53
1997.514  7  7  2.65
1997.516  7  8  1.81
1997.519  7  9  1.78
1997.522  7 10  2.97
1997.525  7 11  2.81
1997.527  7 12  2.23
1997.530  7 13  2.28
1997.533  7 14  2.71
1997.536  7 15  2.37
1997.538  7 16  1.92
1997.541  7 17  1.86
1997.544  7 18  2.38
1997.547  7 19  2.42
1997.549  7 20  2.11
1997.552  7 21  2.22
1997.555  7 22  2.46
1997.558  7 23  2.31
1997.560  7 24  2.11
1997.563  7 25  2.21
1997.566  7 26  2.18
1997.568  7 27  1.94
1997.571  7 28  1.75
1997.574  7 29  2.03
1997.577  7 30  2.18
1997.579  7 31  1.93
1997.582  8  1  1.90
1997.585  8  2  2.09
1997.588  8  3  2.11
1997.590  8  4  1.97
1997.593  8  5  2.13
1997.596  8  6  2.43
1997.599  8  7  2.44
1997.601  8  8  2.68
1997.604  8  9  3.07
1997.607  8 10  2.82
1997.610  8 11  2.33
1997.612  8 12  2.30
1997.615  8 13  2.63
1997.618  8 14  2.91
1997.621  8 15  3.30
1997.623  8 16  3.11
1997.626  8 17  2.30
1997.629  8 18  2.55
1997.632  8 19  2.93
1997.634  8 20  2.43
1997.637  8 21  2.23
1997.640  8 22  2.37
1997.642  8 23  2.43
1997.645  8 24  2.57
1997.648  8 25  2.48
1997.651  8 26  2.21
1997.653  8 27  2.07
1997.656  8 28  2.38
1997.659  8 29  2.33
1997.662  8 30  2.40
1997.664  8 31  2.44
1997.667  9  1  2.53
1997.670  9  2  2.28
1997.673  9  3  2.03
1997.675  9  4  2.03
1997.678  9  5  1.86
1997.681  9  6  1.84
1997.684  9  7  2.14
1997.686  9  8  2.04
1997.689  9  9  1.88
1997.692  9 10  2.02
1997.695  9 11  2.22
1997.697  9 12  2.04
1997.700  9 13  1.72
1997.703  9 14  2.09
1997.705  9 15  2.23
1997.708  9 16  1.79
1997.711  9 17  1.90
1997.714  9 18  1.69
1997.716  9 19  1.93
1997.719  9 20  2.00
1997.722  9 21  2.02
1997.725  9 22  2.14
1997.727  9 23  2.08
1997.730  9 24  1.97
1997.733  9 25  1.80
1997.736  9 26  1.75
1997.738  9 27  1.67
1997.741  9 28  1.74
1997.744  9 29  1.78
1997.747  9 30  1.59
1997.749 10  1  1.44
1997.752 10  2  1.48
1997.755 10  3  1.67
1997.758 10  4  1.65
1997.760 10  5  1.73
1997.763 10  6  1.99
1997.766 10  7  2.06
1997.768 10  8  2.19
1997.771 10  9  1.97
1997.774 10 10  1.81
1997.777 10 11  2.14
1997.779 10 12  2.50
1997.782 10 13  2.51
1997.785 10 14  2.56
1997.788 10 15  2.34
1997.790 10 16  2.21
1997.793 10 17  1.96
1997.796 10 18  1.70
1997.799 10 19  1.84
1997.801 10 20  2.41
1997.804 10 21  2.87
1997.807 10 22  2.58
1997.810 10 23  2.24
1997.812 10 24  2.69
1997.815 10 25  2.43
1997.818 10 26  2.60
1997.821 10 27  3.01
1997.823 10 28  2.47
1997.826 10 29  1.72
1997.829 10 30  1.46
1997.832 10 31  1.57
1997.834 11  1  1.99
1997.837 11  2  2.43
1997.840 11  3  2.99
1997.842 11  4  2.89
1997.845 11  5  2.64
1997.848 11  6  2.20
1997.851 11  7  2.21
1997.853 11  8  2.14
1997.856 11  9  2.40
1997.859 11 10  2.50
1997.862 11 11  1.88
1997.864 11 12  1.50
1997.867 11 13  1.26
1997.870 11 14  1.40
1997.873 11 15  1.86
1997.875 11 16  2.10
1997.878 11 17  1.82
1997.881 11 18  1.76
1997.884 11 19  1.89
1997.886 11 20  2.20
1997.889 11 21  2.89
1997.892 11 22  2.35
1997.895 11 23  2.06
1997.897 11 24  2.74
1997.900 11 25  2.98
1997.903 11 26  2.76
1997.905 11 27  2.79
1997.908 11 28  2.80
1997.911 11 29  2.54
1997.914 11 30  2.38
1997.916 12  1  2.41
1997.919 12  2  2.24
1997.922 12  3  2.08
1997.925 12  4  2.07
1997.927 12  5  2.10
1997.930 12  6  2.47
1997.933 12  7  2.21
1997.936 12  8  1.95
1997.938 12  9  2.23
1997.941 12 10  2.46
1997.944 12 11  2.35
1997.947 12 12  2.15
1997.949 12 13  2.06
1997.952 12 14  2.12
1997.955 12 15  1.83
1997.958 12 16  1.53
1997.960 12 17  1.59
1997.963 12 18  3.04
1997.966 12 19  3.89
1997.968 12 20  3.01
1997.971 12 21  3.00
1997.974 12 22  2.94
1997.977 12 23  2.21
1997.979 12 24  1.95
1997.982 12 25  2.19
1997.985 12 26  3.12
1997.988 12 27  2.47
1997.990 12 28  2.03
1997.993 12 29  2.25
1997.996 12 30  2.62
1997.999 12 31  2.56
1998.001  1  1  2.64
1998.004  1  2  2.80
1998.007  1  3  2.47
1998.010  1  4  2.16
1998.012  1  5  1.58
1998.015  1  6  1.45
1998.018  1  7  1.73
1998.021  1  8  1.80
1998.023  1  9  2.28
1998.026  1 10  2.04
1998.029  1 11  2.41
1998.032  1 12  2.71
1998.034  1 13  2.70
1998.037  1 14  2.68
1998.040  1 15  2.44
1998.042  1 16  2.19
1998.045  1 17  2.31
1998.048  1 18  2.59
1998.051  1 19  2.60
1998.053  1 20  2.53
1998.056  1 21  2.53
1998.059  1 22  2.21
1998.062  1 23  2.30
1998.064  1 24  2.54
1998.067  1 25  2.10
1998.070  1 26  2.22
1998.073  1 27  2.48
1998.075  1 28  2.41
1998.078  1 29  2.02
1998.081  1 30  1.96
1998.084  1 31  2.39
1998.086  2  1  2.55
1998.089  2  2  2.28
1998.092  2  3  2.11
1998.095  2  4  1.96
1998.097  2  5  1.81
1998.100  2  6  1.55
1998.103  2  7  1.37
1998.105  2  8  1.31
1998.108  2  9  0.96
1998.111  2 10  0.99
1998.114  2 11  1.16
1998.116  2 12  1.62
1998.119  2 13  2.02
1998.122  2 14  2.01
1998.125  2 15  2.26
1998.127  2 16  1.94
1998.130  2 17  2.13
1998.133  2 18  2.13
1998.136  2 19  1.96
1998.138  2 20  1.78
1998.141  2 21  1.88
1998.144  2 22  1.36
1998.147  2 23  1.10
1998.149  2 24  1.14
1998.152  2 25  1.26
1998.155  2 26  1.56
1998.158  2 27  1.63
1998.160  2 28  1.87
1998.163  3  1  2.18
1998.166  3  2  2.01
1998.168  3  3  2.19
1998.171  3  4  2.03
1998.174  3  5  2.07
1998.177  3  6  2.22
1998.179  3  7  2.22
1998.182  3  8  2.12
1998.185  3  9  2.55
1998.188  3 10  2.36
1998.190  3 11  1.43
1998.193  3 12  1.21
1998.196  3 13  1.31
1998.199  3 14  1.56
1998.201  3 15  1.44
1998.204  3 16  1.11
1998.207  3 17  1.13
1998.210  3 18  1.24
1998.212  3 19  1.42
1998.215  3 20  1.25
1998.218  3 21  1.43
1998.221  3 22  1.84
1998.223  3 23  1.84
1998.226  3 24  1.66
1998.229  3 25  1.66
1998.232  3 26  1.24
1998.234  3 27  1.25
1998.237  3 28  1.87
1998.240  3 29  1.83
1998.242  3 30  1.69
1998.245  3 31  1.97
1998.248  4  1  2.87
1998.251  4  2  2.63
1998.253  4  3  2.50
1998.256  4  4  2.53
1998.259  4  5  2.70
1998.262  4  6  2.24
1998.264  4  7  1.81
1998.267  4  8  1.69
1998.270  4  9  2.05
1998.273  4 10  2.67
1998.275  4 11  3.11
1998.278  4 12  2.11
1998.281  4 13  1.80
1998.284  4 14  2.01
1998.286  4 15  1.96
1998.289  4 16  1.84
1998.292  4 17  1.90
1998.295  4 18  1.91
1998.297  4 19  2.45
1998.300  4 20  1.76
1998.303  4 21  1.12
1998.305  4 22  1.03
1998.308  4 23  1.51
1998.311  4 24  1.89
1998.314  4 25  2.09
1998.316  4 26  1.84
1998.319  4 27  1.72
1998.322  4 28  1.53
1998.325  4 29  1.43
1998.327  4 30  1.45
1998.330  5  1  1.58
1998.333  5  2  2.22
1998.336  5  3  2.00
1998.338  5  4  1.37
1998.341  5  5  1.45
1998.344  5  6  2.16
1998.347  5  7  2.11
1998.349  5  8  1.78
1998.352  5  9  1.85
1998.355  5 10  2.45
1998.358  5 11  2.16
1998.360  5 12  1.78
1998.363  5 13  1.66
1998.366  5 14  1.58
1998.368  5 15  1.94
1998.371  5 16  2.07
1998.374  5 17  1.76
1998.377  5 18  1.57
1998.379  5 19  1.89
1998.382  5 20  3.00
1998.385  5 21  2.99
1998.388  5 22  2.39
1998.390  5 23  1.89
1998.393  5 24  1.62
1998.396  5 25  1.65
1998.399  5 26  2.12
1998.401  5 27  2.61
1998.404  5 28  2.27
1998.407  5 29  1.87
1998.410  5 30  2.62
1998.412  5 31  3.51
1998.415  6  1  2.36
1998.418  6  2  2.05
1998.421  6  3  2.67
1998.423  6  4  2.86
1998.426  6  5  2.23
1998.429  6  6  1.95
1998.432  6  7  1.84
1998.434  6  8  2.39
1998.437  6  9  1.88
1998.440  6 10  1.46
1998.442  6 11  1.62
1998.445  6 12  2.25
1998.448  6 13  2.89
1998.505  7  4  1.71
1998.508  7  5  2.07
1998.511  7  6  2.51
1998.514  7  7  2.58
1998.516  7  8  2.08
1998.519  7  9  2.02
1998.522  7 10  2.09
1998.525  7 11  1.92
1998.527  7 12  1.95
1998.530  7 13  2.16
1998.533  7 14  2.39
1998.536  7 15  2.65
1998.538  7 16  2.81
1998.541  7 17  2.57
1998.544  7 18  2.43
1998.547  7 19  2.73
1998.549  7 20  2.94
1998.552  7 21  3.42
1998.555  7 22  3.06
1998.558  7 23  2.08
1998.560  7 24  1.62
1998.563  7 25  1.91
1998.566  7 26  2.39
1998.568  7 27  2.16
1998.571  7 28  2.16
1998.574  7 29  2.19
1998.577  7 30  2.58
1998.579  7 31  2.80
1998.582  8  1  2.42
1998.585  8  2  2.19
1998.588  8  3  1.97
1998.590  8  4  2.02
1998.593  8  5  2.11
1998.596  8  6  2.20
1998.599  8  7  2.02
1998.601  8  8  2.15
1998.604  8  9  2.33
1998.607  8 10  2.56
1998.610  8 11  2.78
1998.612  8 12  2.43
1998.615  8 13  2.18
1998.618  8 14  2.06
1998.621  8 15  2.00
1998.623  8 16  1.83
1998.626  8 17  1.74
1998.629  8 18  2.09
1998.632  8 19  2.41
1998.634  8 20  2.41
1998.637  8 21  1.71
1998.640  8 22  1.92
1998.642  8 23  2.85
1998.645  8 24  2.73
1998.648  8 25  2.27
1998.651  8 26  2.29
1998.653  8 27  2.87
1998.656  8 28  2.52
1998.659  8 29  1.90
1998.662  8 30  2.18
1998.664  8 31  2.31
1998.667  9  1  2.30
1998.670  9  2  2.03
1998.673  9  3  2.00
1998.675  9  4  2.69
1998.678  9  5  2.85
1998.681  9  6  2.51
1998.684  9  7  2.45
1998.686  9  8  2.46
1998.689  9  9  2.27
1998.692  9 10  2.12
1998.695  9 11  2.13
1998.700  9 13  2.09
1998.703  9 14  2.17
1998.705  9 15  2.51
1998.708  9 16  2.40
1998.711  9 17  2.54
1998.714  9 18  2.69
1998.716  9 19  2.82
1998.719  9 20  2.79
1998.722  9 21  2.50
1998.725  9 22  2.60
1998.727  9 23  2.95
1998.730  9 24  2.94
1998.733  9 25  2.92
1998.736  9 26  3.12
1998.738  9 27  3.17
1998.741  9 28  2.89
1998.744  9 29  3.06
1998.747  9 30  3.92
1998.749 10  1  3.94
1998.752 10  2  2.83
1998.755 10  3  2.55
1998.758 10  4  3.22
1998.760 10  5  2.30
1998.763 10  6  2.77
1998.766 10  7  3.05
1998.768 10  8  2.76
1998.771 10  9  2.00
1998.774 10 10  2.02
1998.777 10 11  2.85
1998.779 10 12  2.83
1998.782 10 13  2.37
1998.785 10 14  2.14
1998.788 10 15  2.89
1998.790 10 16  3.61
1998.793 10 17  3.39
1998.796 10 18  3.15
1998.799 10 19  3.01
1998.801 10 20  2.35
1998.804 10 21  1.63
1998.807 10 22  1.15
1998.810 10 23  1.47
1998.812 10 24  1.72
1998.815 10 25  1.86
1998.818 10 26  1.59
1998.821 10 27  1.58
1998.823 10 28  1.85
1998.826 10 29  2.04
1998.829 10 30  2.83
1998.832 10 31  2.07
1998.834 11  1  2.19
1998.837 11  2  2.36
1998.840 11  3  2.03
1998.842 11  4  2.10
1998.845 11  5  2.13
1998.848 11  6  2.94
1998.851 11  7  2.99
1998.853 11  8  2.60
1998.856 11  9  2.59
1998.859 11 10  2.15
1998.862 11 11  2.13
1998.864 11 12  2.63
1998.867 11 13  2.83
1998.870 11 14  3.40
1998.873 11 15  3.49
1998.875 11 16  3.03
1998.878 11 17  3.16
1998.881 11 18  3.68
1998.884 11 19  3.13
1998.886 11 20  2.55
1998.889 11 21  2.03
1998.892 11 22  2.13
1998.895 11 23  2.82
1998.897 11 24  2.34
1998.900 11 25  1.84
1998.903 11 26  2.08
1998.905 11 27  2.03
1998.908 11 28  1.68
1998.911 11 29  1.59
1998.914 11 30  1.89
1998.916 12  1  1.67
1998.919 12  2  1.45
1998.922 12  3  1.24
1998.925 12  4  1.45
1998.927 12  5  1.75
1998.930 12  6  1.89
1998.933 12  7  1.93
